unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1568160000,9/11/2019,ETC/USD,6.52,6.584,6.109,6.318,1028200.39,162597.92,364
1568073600,9/10/2019,ETC/USD,6.59,6.74,6.3839999999999995,6.52,1010860.17,153817.04,365
1567987200,9/9/2019,ETC/USD,6.653,6.807,6.375,6.59,1111500.11,169157.97,366
1567900800,9/8/2019,ETC/USD,6.68,6.785,6.561,6.653,915949.79,137132.68,367
1567814400,9/7/2019,ETC/USD,6.686,6.85,6.235,6.68,2023635.59,309071.57,368
1567728000,9/6/2019,ETC/USD,7.037000000000001,7.082999999999999,6.686,6.686,1532974.0,221503.07,369
1567641600,9/5/2019,ETC/USD,6.781000000000001,7.228,6.722,7.037000000000001,2106759.08,300105.83,370
1567555200,9/4/2019,ETC/USD,6.81,6.882999999999999,6.641,6.781000000000001,980734.81,144913.79,371
1567468800,9/3/2019,ETC/USD,6.7,7.021,6.62,6.81,1228426.7,180188.02,372
1567382400,9/2/2019,ETC/USD,6.274,6.891,6.21,6.7,2447662.39,369689.25,373
1567296000,9/1/2019,ETC/USD,6.274,6.327999999999999,6.068,6.274,767099.7,123300.15,374
1567209600,8/31/2019,ETC/USD,6.2989999999999995,6.442,6.146,6.274,1216103.11,193596.46,375
1567123200,8/30/2019,ETC/USD,5.9479999999999995,6.499,5.73,6.2989999999999995,2446321.56,393811.73,376
1567036800,8/29/2019,ETC/USD,6.48,6.48,5.672000000000001,5.9479999999999995,2703012.73,447008.91,377
1566950400,8/28/2019,ETC/USD,7.192,7.245,6.166,6.48,3711717.58,560871.35,378
1566864000,8/27/2019,ETC/USD,7.33,7.335,7.1,7.192,910432.87,126359.6,379
1566777600,8/26/2019,ETC/USD,7.13,7.53,7.108,7.33,1933711.01,265608.16,380
1566691200,8/25/2019,ETC/USD,6.86,7.428,6.852,7.13,2670413.07,373216.56,381
1566604800,8/24/2019,ETC/USD,7.141,7.227,6.749,6.86,2175134.4,312095.35,382
1566518400,8/23/2019,ETC/USD,7.21,7.564,6.857,7.141,5956839.47,830324.12,383
1566432000,8/22/2019,ETC/USD,6.149,7.82,5.976,7.21,10436062.96,1467311.04,384
1566345600,8/21/2019,ETC/USD,6.029,6.379,5.855,6.149,2699542.56,441502.67,385
1566259200,8/20/2019,ETC/USD,5.551,6.249,5.476,6.029,3476680.4,582212.85,386
